keyword,volume,cpc,competition,difficulty,intent,service,town,source_themes,measured_at,source,unmeasured_reason
window cleaning,40500,7.58,0.46,40,commercial,residential window cleaning,,"commercial-window,western-suburbs",2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
window cleaning services,22200,8.01,0.09,31,commercial,residential window cleaning,,"residential-window,western-suburbs",2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
house pressure washing,9900,12.01,0.97,7,commercial,pressure washing,,"residential-window,western-suburbs",2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
window cleaning services near me,8100,8.45,0.19,17,commercial,residential window cleaning,,residential-window,2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
pink's window cleaning,6600,7.33,0.36,11,informational,residential window cleaning,,"residential-window,western-suburbs",2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
residential window cleaning,6600,12.16,0.44,31,commercial,residential window cleaning,,western-suburbs,2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
professional window cleaning,5400,9.77,0.52,19,commercial,residential window cleaning,,residential-window,2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
gutter cleaning service near me,5400,13.99,0.4,10,commercial,gutter cleaning,,residential-window,2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
exterior window cleaning,3600,4.52,0.85,3,commercial,residential window cleaning,,"commercial-window,western-suburbs",2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
window cleaning companies near me,2900,6.2,0.69,37,commercial,residential window cleaning,,residential-window,2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
clearview window cleaning,2900,8.53,0.29,0,informational,residential window cleaning,,"residential-window,commercial-window,western-suburbs",2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
window cleaner near me,2900,7.41,0.29,19,commercial,residential window cleaning,,residential-window,2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
perfect power wash,2900,9.84,0.36,0,informational,pressure washing,,adjacent-services,2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
abc window cleaning,2400,4.69,0.57,12,informational,residential window cleaning,,"residential-window,western-suburbs",2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
soft pressure washing,2400,5.44,1,7,informational,pressure washing,,adjacent-services,2026-09-20T22:22:55.490Z,Unfairly DataForSEO connector,
